Municipio,ZH,Latitude,Longitude
Anahy,7801,"-24,64408454","-53,14376187"
Arapuã,7801,"-24,34402928","-51,81531092"
Ariranha do Ivaí,7801,"-24,37729832","-51,5407242"
Boa Esperança,7801,"-24,25686176","-52,75117557"
Boa Vista da Aparecida,7801,"-25,43196858","-53,42183058"
Campina da Lagoa,7801,"-24,6166087","-52,78832131"
Campo Mourão,7801,"-24,10249393","-52,38070268"
Capanema,7801,"-25,61053008","-53,7606014"
Capitão Leônidas Marques,7801,"-25,46957804","-53,59328713"
Céu Azul,7801,"-25,24627743","-53,76178631"
Corumbataí do Sul,7801,"-24,12374816","-52,142126"
Cruzmaltina,7801,"-24,01995326","-51,47543624"
Diamante D'Oeste,7801,"-24,95421202","-54,10030207"
Entre Rios do Oeste,7801,"-24,71147352","-54,22711144"
Foz do Iguaçu,7801,"-25,47090352","-54,48238878"
Grandes Rios,7801,"-24,19100848","-51,44748123"
Iguatu,7801,"-24,68783982","-53,08691227"
Iracema do Oeste,7801,"-24,43854535","-53,35175243"
Itaipulândia,7801,"-25,15501181","-54,35956958"
Ivaiporã,7801,"-24,28266283","-51,62891844"
Juranda,7801,"-24,39750155","-52,83471793"
Lidianópolis,7801,"-24,0862245","-51,63895631"
Luiziana,7801,"-24,34740327","-52,33080506"
Manoel Ribas,7801,"-24,48932206","-51,64040486"
Marechal Cândido Rondon,7801,"-24,57175815","-54,13888641"
Marilândia do Sul,7801,"-23,77332555","-51,28361834"
Matelândia,7801,"-25,35104643","-53,90600689"
Medianeira,7801,"-25,26317146","-54,09192061"
Mercedes,7801,"-24,43340799","-54,18603336"
Missal,7801,"-25,0955713","-54,24128016"
Nova Aurora,7801,"-24,50271931","-53,27698156"
Ouro Verde do Oeste,7801,"-24,79379515","-53,9096819"
Pato Bragado,7801,"-24,63378707","-54,25262752"
Planalto,7801,"-25,73712898","-53,70769759"
Ramilândia,7801,"-25,09436241","-54,07607106"
Realeza,7801,"-25,67440101","-53,54352788"
Rio Branco do Ivaí,7801,"-24,34656105","-51,33373606"
Rosário do Ivaí,7801,"-24,31571598","-51,2034457"
Santa Helena,7801,"-24,88727454","-54,30624062"
Santa Lúcia,7801,"-25,38474999","-53,55286782"
Santa Terezinha de Itaipu,7801,"-25,4566444","-54,4273734"
São José das Palmeiras,7801,"-24,81547175","-54,11957185"
São Miguel do Iguaçu,7801,"-25,388241","-54,26184691"
São Pedro do Iguaçu,7801,"-24,90650431","-53,89073122"
Serranópolis do Iguaçu,7801,"-25,47950939","-54,02996256"
Tupãssi,7801,"-24,64600397","-53,50930155"
Ubiratã,7801,"-24,50493372","-53,02166699"
Vera Cruz do Oeste,7801,"-25,00737161","-53,92046088"